Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
Lucas Digne,https://fbref.com/en/players/1b84dbe1/Lucas-Digne,FRA,DF, 31,32,28,2351,Aston Villa
John McGinn,https://fbref.com/en/players/90f91999/John-McGinn,SCO,"MF,FW", 29,34,27,2223,Aston Villa
Matty Cash,https://fbref.com/en/players/2389cdc2/Matty-Cash,POL,DF, 26,27,24,2070,Aston Villa
Pau Torres,https://fbref.com/en/players/532e1e4f/Pau-Torres,ESP,DF, 27,24,23,2020,Aston Villa
Boubacar Kamara,https://fbref.com/en/players/cc77354e/Boubacar-Kamara,FRA,MF, 24,26,20,1726,Aston Villa
Amadou Onana,https://fbref.com/en/players/828657ff/Amadou-Onana,BEL,MF, 22,26,20,1617,Aston Villa
Jacob Ramsey,https://fbref.com/en/players/1544f145/Jacob-Ramsey,ENG,"FW,MF", 23,29,19,1623,Aston Villa
Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey,JAM,"FW,MF", 26,24,14,1139,Aston Villa
Tyrone Mings,https://fbref.com/en/players/8397a50c/Tyrone-Mings,ENG,DF, 31,14,12,1120,Aston Villa
Ian Maatsen,https://fbref.com/en/players/cab9634e/Ian-Maatsen,NED,DF, 22,29,10,1139,Aston Villa
Marco Asensio,https://fbref.com/en/players/45af8a54/Marco-Asensio,ESP,MF, 28,13,9,743,Aston Villa
Diego Carlos,https://fbref.com/en/players/b4a014b1/Diego-Carlos,BRA,DF, 31,10,8,830,Aston Villa
Axel Disasi,https://fbref.com/en/players/ad82197c/Axel-Disasi,FRA,DF, 26,7,5,490,Aston Villa
Lamare Bogarde,https://fbref.com/en/players/bca5c4a7/Lamare-Bogarde,NED,"DF,MF", 20,8,5,476,Aston Villa
Andrés García,https://fbref.com/en/players/40498af1/Andres-Garcia,ESP,"DF,MF", 21,7,5,318,Aston Villa
Jáder Durán,https://fbref.com/en/players/414184f7/Jader-Duran,COL,FW, 20,20,4,638,Aston Villa
Marcus Rashford,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford,ENG,FW, 26,10,4,444,Aston Villa
Ross Barkley,https://fbref.com/en/players/3a24769f/Ross-Barkley,ENG,MF, 30,20,3,581,Aston Villa
Jaden Philogene Bidace,https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace,ENG,"FW,MF", 22,11,2,332,Aston Villa
Donyell Malen,https://fbref.com/en/players/116c35df/Donyell-Malen,NED,FW, 25,14,2,305,Aston Villa
Robin Olsen,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,SWE,GK, 34,4,1,226,Aston Villa
Kosta Nedeljković,https://fbref.com/en/players/c70be9cf/Kosta-Nedeljkovic,SRB,DF, 18,5,0,126,Aston Villa
